Order,Published,Title
"7,325",11/1988,Fantastic Four (1961) #320
"7,329",12/1988,Fantastic Four (1961) #321
"7,367",01/1989,Fantastic Four (1961) #322
"7,386",02/1989,Fantastic Four (1961) #323
"7,387",03/1989,Fantastic Four (1961) #324
"7,410",04/1989,Fantastic Four (1961) #325
"7,511",05/1989,Saga of the Sub-Mariner (1988) #7
"7,512",06/1989,Saga of the Sub-Mariner (1988) #8
"7,513",07/1989,Saga of the Sub-Mariner (1988) #9
"7,514",08/1989,Saga of the Sub-Mariner (1988) #10
"7,515",09/1989,Saga of the Sub-Mariner (1988) #11
"7,557",05/1989,Avengers (1963) #303
"7,569",10/1989,She-Hulk Ceremony (1989) #1
"7,578",05/1989,Marvel Comics Presents (1988) #18 [D Story]
"7,605",04/1989,Marvel Fanfare (1982) #43 [B Story]
"7,631",05/1989,Fantastic Four (1961) #326
"7,632",06/1989,Fantastic Four (1961) #327
"7,633",07/1989,Fantastic Four (1961) #328
"7,637",07/1989,Thor (1966) #405 [A Story]
"7,638",08/1989,Fantastic Four (1961) #329
"7,651",09/1989,Fantastic Four (1961) #330
"7,656",10/1989,Fantastic Four (1961) #331
"7,673",11/1989,Fantastic Four (1961) #332
"7,674",11/1989,Fantastic Four (1961) #333
"7,746",07/1989,Avengers (1963) #305
"7,748",09/1989,Avengers (1963) #307
"7,749",10/1989,Avengers (1963) #308
"7,759",10/1989,Marvel Fanfare (1982) #46 [A Story]
"7,825",10/1989,Avengers Annual (1967) #18 [A Story]
"7,828",11/1989,Web of Spider-Man Annual (1985) #5 [A Story]
"7,832",11/1989,Fantastic Four Annual (1963) #22 [A Story]
"7,849",10/1989,Avengers Annual (1967) #18 [B Story]
"7,862",11/1989,Fantastic Four Annual (1963) #22 [B Story]
"7,863",11/1989,Fantastic Four Annual (1963) #22 [C Story]
"7,880",04/1990,Inhumans Special (1990) #1
"7,916",08/1989,Deaths Head (1988) #9
"7,986",12/1989,Fantastic Four (1961) #334
"8,096",12/1989,Fantastic Four (1961) #335
"8,097",01/1990,Fantastic Four (1961) #336
"8,114",02/1990,Avengers Spotlight (1989) #29 [B Story]
"8,143",01/1990,Incredible Hulk (1962) #365
"8,168",05/1990,Marvel Graphic Novel (1981) #58
"8,501",02/1990,Fantastic Four (1961) #337
"8,502",03/1990,Fantastic Four (1961) #338
"8,503",04/1990,Fantastic Four (1961) #339
"8,504",05/1990,Fantastic Four (1961) #340
"8,505",06/1990,Fantastic Four (1961) #341
"8,506",07/1990,Fantastic Four (1961) #342
"8,507",08/1990,Fantastic Four (1961) #343
"8,508",09/1990,Fantastic Four (1961) #344
"8,509",10/1990,Fantastic Four (1961) #345
"8,510",11/1990,Fantastic Four (1961) #346
"8,589",07/1990,Namor the Sub-Mariner (1990) #4
"8,590",08/1990,Namor the Sub-Mariner (1990) #5
"8,611",06/1990,Power Pack (1984) #56
"8,616",07/1990,Fantastic Four Annual (1963) #23 [A Story]
"8,617",07/1990,New Mutants Annual (1985) #6 [A Story]
"8,618",07/1990,X-Factor Annual (1986) #5 [A Story]
"8,619",07/1990,X-Men Annual (1979) #14 [A Story]
"8,636",10/1990,Power Pack (1984) #59
"8,638",12/1990,Power Pack (1984) #61
"8,639",02/1991,Power Pack (1984) #62
"8,707",12/1990,Fantastic Four (1961) #347
"8,708",01/1991,Fantastic Four (1961) #348
"8,709",02/1991,Fantastic Four (1961) #349
"8,719",07/1991,Fantastic Four Annual (1963) #24 [B Story]
"8,756",09/1990,"Nick Fury, Agent of S.H.I.E.L.D. (1989) #15"
"8,759",12/1990,"Nick Fury, Agent of S.H.I.E.L.D. (1989) #18"
"8,760",01/1991,"Nick Fury, Agent of S.H.I.E.L.D. (1989) #19"
"8,763",12/1990,Marvel Comics Presents (1988) #64 [C Story]
"8,764",12/1990,Marvel Comics Presents (1988) #65 [C Story]
"8,765",12/1990,Marvel Comics Presents (1988) #66 [C Story]
"8,766",01/1991,Marvel Comics Presents (1988) #67 [C Story]
"8,767",01/1991,Marvel Comics Presents (1988) #68 [C Story]
"8,809",12/1990,Avengers (1963) #327
"8,864",03/1991,Namor the Sub-Mariner (1990) #12
"8,866",01/1991,Alpha Flight (1983) #92
"8,867",02/1991,Alpha Flight (1983) #93
"8,868",03/1991,Alpha Flight (1983) #94
"8,904",05/1991,Web of Spider-Man (1985) #76
"8,917",01/1991,What The--?! (1988) #10 [A Story]
"8,946",05/1991,X-Factor (1986) #66
"8,982",04/1991,Namor the Sub-Mariner (1990) #13
"8,986",06/1991,"Nick Fury, Agent of S.H.I.E.L.D. (1989) #24"
"9,016",05/1991,Avengers (1963) #332
"9,017",06/1991,Avengers (1963) #333
"9,028",03/1991,Fantastic Four (1961) #350
"9,029",04/1991,Fantastic Four (1961) #351
"9,030",05/1991,Fantastic Four (1961) #352
"9,031",06/1991,Fantastic Four (1961) #353
"9,032",07/1991,Fantastic Four (1961) #354
"9,059",09/1991,Damage Control (1991) #4
"9,072",08/1991,"Nick Fury, Agent of S.H.I.E.L.D. (1989) #26"
"9,094",12/1991,Iron Man (1968) #275 [A Story]
"9,143",06/1991,The Spectacular Spider-Man (1988) #177
"9,190",03/1991,Quasar (1989) #20
"9,291",06/1991,Namor the Sub-Mariner Annual (1991) #1 [D ...
"9,297",08/1991,Fantastic Four (1961) #355
"9,304",10/1991,Avengers West Coast (1989) #75
"9,305",08/1991,The Knights of Pendragon (1990) #14
"9,317",09/1991,Fantastic Four (1961) #356
"9,425",10/1991,New Warriors (1990) #16
"9,426",11/1991,New Warriors (1990) #17
"9,445",06/1992,Spider-Man (1990) #23
"9,489",01/1992,Marvel Comics Presents (1988) #94 [D Story]
"9,520",10/1991,Deathlok (1991) #4
"9,521",11/1991,Deathlok (1991) #5
"9,524",11/1992,Slapstick (1992) #1
"9,527",02/1993,Slapstick (1992) #4
"9,547",10/1991,Fantastic Four (1961) #357
"9,548",11/1991,Fantastic Four (1961) #358 [A Story]
"9,549",12/1991,Fantastic Four (1961) #359
"9,550",01/1992,Fantastic Four (1961) #360
"9,570",02/1992,Fantastic Four (1961) #361
"9,575",12/1991,Marvel Holiday Special (1991) #1 [B Story]
"9,589",01/1992,Marvel Super-Heroes Annual UK (1990) #1992 ...
"9,751",04/1992,Deaths Head II (1992) #2
"9,753",06/1992,Deaths Head II (1992) #4
"9,780",03/1992,Fantastic Four (1961) #362
"9,781",04/1992,Fantastic Four (1961) #363
"9,782",05/1992,Fantastic Four (1961) #364
"9,783",05/1992,Fantastic Four (1961) #365
"9,826",04/1992,Wolverine (1988) #53
"9,850",06/1992,Amazing Spider-Man (1963) #363
"10,054",03/1993,Mys-Tech Wars (1993) #1
"10,055",04/1993,Mys-Tech Wars (1993) #2
"10,059",05/1993,Mys-Tech Wars (1993) #3
"10,060",06/1993,Mys-Tech Wars (1993) #4
"10,075",02/1993,Sensational She-Hulk (1989) #48
"10,106",07/1992,Sleepwalker (1991) #14
"10,107",08/1992,Sleepwalker (1991) #15
"10,108",09/1992,Sleepwalker (1991) #16
"10,181",04/1992,Warlock and the Infinity Watch (1992) #3
"10,188",07/1992,Fantastic Four (1961) #366
"10,205",07/1992,Infinity War (1992) #2
"10,206",08/1992,Fantastic Four (1961) #367
"10,207",09/1992,Fantastic Four (1961) #368
"10,208",09/1992,Wonder Man (1991) #13
"10,214",08/1992,Infinity War (1992) #3
"10,215",09/1992,New Warriors (1990) #27
"10,220",09/1992,Warlock and the Infinity Watch (1992) #8
"10,221",09/1992,Quasar (1989) #38
"10,223",09/1992,Infinity War (1992) #4
"10,224",10/1992,Wonder Man (1991) #14
"10,227",10/1992,Silver Sable and the Wild Pack (1992) #5
"10,231",08/1992,Alpha Flight (1983) #111
"10,232",08/1992,Marc Spector: Moon Knight (1989) #41
"10,235",10/1992,Quasar (1989) #39
"10,236",10/1992,Infinity War (1992) #5
"10,237",10/1992,Fantastic Four (1961) #369
"10,238",11/1992,Quasar (1989) #40
"10,246",11/1992,Wonder Man (1991) #15
"10,248",11/1992,Infinity War (1992) #6
"10,249",11/1992,Fantastic Four (1961) #370
"10,258",11/1992,Marc Spector: Moon Knight (1989) #44
"10,314",10/1992,Fantastic Four Annual (1963) #25 [A Story]
"10,315",10/1992,Avengers Annual (1967) #21 [A Story]
"10,321",10/1992,Fantastic Four Annual (1963) #25 [B Story]
"10,322",10/1992,Fantastic Four Annual (1963) #25 [C Story]
"10,392",11/1992,Incredible Hulk (1962) #399
"10,399",03/1993,Darkhawk (1991) #25
"10,630",03/1993,Fantastic Four Unlimited (1993) #1 [A Story]
"10,640",03/1993,New Warriors (1990) #33
"10,641",04/1993,New Warriors (1990) #34
"10,642",05/1993,New Warriors Annual (1992) #3 [A Story]
"10,648",09/1993,Quasar (1989) #50
"10,692",12/1992,Fantastic Four (1961) #371
"10,693",01/1993,Fantastic Four (1961) #372
"10,694",02/1993,Fantastic Four (1961) #373
"10,696",03/1993,Fantastic Four (1961) #374
"10,697",04/1993,Fantastic Four (1961) #375
"10,700",06/1993,Fantastic Four Unlimited (1993) #2
"10,701",09/1993,Fantastic Four Unlimited (1993) #3
"10,702",06/1993,Sensational She-Hulk (1989) #52
"10,705",09/1993,Sensational She-Hulk (1989) #55
"10,708",05/1993,Fantastic Four (1961) #376
"10,709",06/1993,Fantastic Four Annual (1963) #26 [A Story]
"10,856",07/1993,Darkhawk (1991) #29
"11,065",06/1993,Infinity Crusade (1993) #1
"11,076",07/1993,Warlock and the Infinity Watch (1992) #18
"11,079",07/1993,Infinity Crusade (1993) #2
"11,081",09/1993,Web of Spider-Man (1985) #104 [A Story]
"11,088",08/1993,Darkhawk (1991) #30
"11,090",08/1993,Warlock and the Infinity Watch (1992) #19
"11,091",08/1993,Infinity Crusade (1993) #3
"11,093",09/1993,Darkhawk (1991) #31
"11,104",09/1993,Infinity Crusade (1993) #4
"11,110",10/1993,Infinity Crusade (1993) #5
"11,118",11/1993,Infinity Crusade (1993) #6
"11,139",10/1993,Cage (1992) #19
"11,140",11/1993,Cage (1992) #20
"11,307",10/1993,X-Men (1991) #25
"11,343",06/1993,Fantastic Four (1961) #377
"11,344",07/1993,Fantastic Four (1961) #378
"11,345",08/1993,Fantastic Four (1961) #379
"11,346",09/1993,Fantastic Four (1961) #380
"11,347",10/1993,Fantastic Four (1961) #381
"11,348",11/1993,Fantastic Four (1961) #382
"11,349",12/1993,Fantastic Four (1961) #383
"11,350",12/1993,Fantastic Four Unlimited (1993) #4
"11,351",03/1994,Fantastic Four Unlimited (1993) #5
"11,352",01/1994,Fantastic Four (1961) #384
"11,496",01/1994,Real Heroes (1994) #1
"11,601",02/1994,Fantastic Four (1961) #385
"11,602",03/1994,Namor the Sub-Mariner (1990) #48
"11,603",03/1994,Fantastic Four (1961) #386
"11,610",04/1994,Namor the Sub-Mariner (1990) #49
"11,611",05/1994,Namor the Sub-Mariner (1990) #50
"11,652",02/1994,Marvels (1994) #2
"11,653",03/1994,Marvels (1994) #3
"11,949",05/1994,Incredible Hulk (1962) #417
"11,958",04/1994,Fantastic Four (1961) #387
"11,959",05/1994,Fantastic Four (1961) #388
"11,960",06/1994,Fantastic Four Unlimited (1993) #6
"11,964",06/1994,Silver Surfer (1987) #93
"11,965",07/1994,Silver Surfer (1987) #94
"11,966",08/1994,Silver Surfer (1987) #95
"11,967",09/1994,Silver Surfer (1987) #96
"11,968",10/1994,Silver Surfer (1987) #97
"11,995",08/1994,Marvel Comics Presents (1988) #160 [D Story]
"11,996",08/1994,Marvel Comics Presents (1988) #161 [A Story]
"12,025",07/1994,Quasar (1989) #60
"12,073",09/1994,Fantastic Four Unlimited (1993) #7
"12,085",05/1994,Fantastic Four Annual (1963) #27 [A Story]
"12,120",12/1994,Fantastic Four Unlimited (1993) #8
"12,142",10/1994,Marvel Comics Presents (1988) #164 [B Story]
"12,232",03/1995,Fantastic Four Unlimited (1993) #9
"12,277",06/1994,Fantastic Four (1961) #389
"12,278",07/1994,Fantastic Four (1961) #390
"12,279",08/1994,Fantastic Four (1961) #391
